Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
POM121C		ENSG00000272391	"POM121 transmembrane nucleoporin C"	A8CG34	7	75416786-75486299	"Essential proteins, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
LEMD2	"dJ482C21.1, LEM2, NET25"	ENSG00000161904	"LEM domain nuclear envelope protein 2"	Q8NC56	6	33771202-33789130	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"			"Cataract, Disease variant"
POM121	"DKFZP586G1822, DKFZP586P2220, KIAA0618, POM121A"	ENSG00000196313	"POM121 transmembrane nucleoporin"	Q96HA1	7	72879349-72951440	"Metabolic proteins, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
NUP54		ENSG00000138750	"Nucleoporin 54"	Q7Z3B4	4	76107562-76148485	"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		Dystonia
RANGAP1	"Fug1, KIAA1835, SD"	ENSG00000100401	"Ran GTPase activating protein 1"	P46060	22	41244779-41286187	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"		"GTPase activation"	
SUN3	"MGC33329, SUNC1"	ENSG00000164744	"Sad1 and UNC84 domain containing 3"	Q8TAQ9	7	47987148-48029119	"Predicted intracellular proteins, Predicted membrane proteins"			
NUP107	NUP84	ENSG00000111581	"Nucleoporin 107"	P57740	12	68686951-68745809	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant, Epilepsy, Intellectual disability"
SYNE4	"C19orf46, DFNB76, FLJ36445, Nesp4, Nesprin-4"	ENSG00000181392	"Spectrin repeat containing nuclear envelope family member 4"	Q8N205	19	36003307-36008813	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"			"Deafness, Non-syndromic deafness"
NEMP2	TMEM194B	ENSG00000189362	"Nuclear envelope integral membrane protein 2"	A6NFY4	2	190504338-190534722	"Predicted intracellular proteins, Predicted membrane proteins"			
NXT1	"MTR2, P15"	ENSG00000132661	"Nuclear transport factor 2 like export factor 1"	Q9UKK6	20	23350791-23354771	"Predicted intracellular proteins"	"Protein transport, Transport"		
TOR1AIP1	"FLJ13142, LAP1, LAP1B, LAP1C"	ENSG00000143337	"Torsin 1A interacting protein 1"	Q5JTV8	1	179882042-179920077	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			"Limb-girdle muscular dystrophy"
NUP205	"C7orf14, KIAA0225"	ENSG00000155561	"Nucleoporin 205"	Q92621	7	135557917-135648757	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"
NUP85	"FLJ12549, NUP75"	ENSG00000125450	"Nucleoporin 85"	Q9BW27	17	75205659-75235758	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"
AHCTF1	ELYS	ENSG00000153207	"AT-hook containing transcription factor 1"	Q8WYP5	1	246839098-246931948	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, mRNA transport, Protein transport, Translocation, Transport"	DNA-binding	
BANF1	BAF	ENSG00000175334	"BAF nuclear assembly factor 1"	O75531	11	66002228-66004149	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction"	DNA-binding	"Disease variant, Osteoporosis"
KPNA2	"IPOA1, PTAC58, QIP2, RCH1, SRP1alpha"	ENSG00000182481	"Karyopherin subunit alpha 2"	P52292	17	68035636-68047364	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Protein transport, Transport"		
NUP50	NPAP60L	ENSG00000093000	"Nucleoporin 50"	Q9UKX7	22	45163925-45188017	"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
NUP210	"FLJ22389, GP210, KIAA0906, POM210"	ENSG00000132182	"Nucleoporin 210"	Q8TEM1	3	13316235-13420322	"Metabolic proteins, Predicted membrane proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
MCM3AP	"GANP, KIAA0572, Map80, SAC3"	ENSG00000160294	"Minichromosome maintenance complex component 3 associated protein"	O60318	21	46235133-46286297	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Immunity, mRNA transport, Protein transport, Translocation, Transport"	"Acyltransferase, Transferase"	"Intellectual disability, Neuropathy"
EMD	"LEMD5, STA"	ENSG00000102119	Emerin	P50402	X	154379273-154381574	"Disease related genes, Human disease related genes, Predicted membrane proteins"		Actin-binding	"Cardiomyopathy, Disease variant, Emery-Dreifuss muscular dystrophy"
CBX3	HP1Hs-gamma	ENSG00000122565	"Chromobox 3"	Q13185	7	26201162-26213607	"Plasma proteins, Predicted intracellular proteins"	"Biological rhythms, Transcription, Transcription regulation"	"Chromatin regulator, Repressor"	
SUN5	"dJ726C3.1, SPAG4L, TSARG4"	ENSG00000167098	"Sad1 and UNC84 domain containing 5"	Q8TC36	20	32983773-33004433	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Spermatogenesis"		"Disease variant"
KPNA6	"FLJ11249, IPOA7, KPNA7, MGC17918"	ENSG00000025800	"Karyopherin subunit alpha 6"	O60684	1	32108056-32176563	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Protein transport, Transport"		
NUP88	MGC8530	ENSG00000108559	"Nucleoporin 88"	Q99567	17	5359668-5420164	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"
IPO5	"IMB3, KPNB3, MGC2068, PSE1, RANBP5"	ENSG00000065150	"Importin 5"	O00410	13	97953658-98024296	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Protein transport, Transport"		
TMEM170A	"FLJ37611, TMEM170"	ENSG00000166822	"Transmembrane protein 170A"	Q8WVE7	16	75443054-75465497	"Predicted membrane proteins, Transporters"			
NUP188	KIAA0169	ENSG00000095319	"Nucleoporin 188"	Q5SRE5	9	128947699-129007096	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Cataract, Disease variant, Microphthalmia"
CNEP1R1	"C16orf69, FLJ38101, NEP1-R1, TMEM188"	ENSG00000205423	"CTD nuclear envelope phosphatase 1 regulatory subunit 1"	Q8N9A8	16	50024410-50037088	"Predicted membrane proteins"	"Lipid metabolism"		
PARP11	"ARTD11, C12orf6"	ENSG00000111224	"Poly(ADP-ribose) polymerase family member 11"	Q9NR21	12	3791047-3873448	"Metabolic proteins, Predicted intracellular proteins"	"Differentiation, mRNA transport, Protein transport, Spermatogenesis, Translocation, Transport"	"Glycosyltransferase, Nucleotidyltransferase, Transferase"	
RAN	"ARA24, Gsp1, TC4"	ENSG00000132341	"RAN, member RAS oncogene family"	P62826	12	130872037-130877678	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Host-virus interaction, Mitosis, Protein transport, Transport"	Hydrolase	
MNS1	"FLJ11222, SPATA40"	ENSG00000138587	"Meiosis specific nuclear structural 1"	Q8NEH6	15	56421544-56465137	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Meiosis		"Disease variant, Heterotaxy"
GLE1	"GLE1L, hGLE1, LCCS1"	ENSG00000119392	"GLE1 RNA export mediator"	Q53GS7	9	128504655-128543874	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"
NXF3		ENSG00000147206	"Nuclear RNA export factor 3"	Q9H4D5	X	103075810-103093143	"Predicted intracellular proteins"	"mRNA transport, Transport"	RNA-binding	
NUP43	"bA350J20.1, FLJ13287"	ENSG00000120253	"Nucleoporin 43"	Q8NFH3	6	149724315-149749665	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Chromosome partition, Mitosis, mRNA transport, Protein transport, Translocation, Transport"		
IPO7	"Imp7, RANBP7"	ENSG00000205339	"Importin 7"	O95373	11	9384652-9448127	"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Protein transport, Transport"		"Cancer-related genes"
TOR1B	"DQ1, MGC4386"	ENSG00000136816	"Torsin family 1 member B"	O14657	9	129803157-129811281	"Predicted intracellular proteins, Predicted membrane proteins"		"Chaperone, Hydrolase"	
NUP58	"KIAA0410, NUP45, NUPL1"	ENSG00000139496	"Nucleoporin 58"	Q9BVL2	13	25301524-25365390	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
PARP1	"ADPRT, ARTD1, PARP, PARS, Poly-PARP, PPOL"	ENSG00000143799	"Poly(ADP-ribose) polymerase 1"	P09874	1	226360210-226408154	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Apoptosis, DNA damage, DNA repair, Immunity, Innate immunity, Transcription, Transcription regulation"	"Allosteric enzyme, DNA-binding, Glycosyltransferase, Nucleotidyltransferase, Transferase"	"Cancer-related genes, FDA approved drug targets"
TMPO	"LAP2, LEMD4, TP"	ENSG00000120802	Thymopoietin	"P42166, P42167"	12	98515579-98550351	"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		DNA-binding	Cardiomyopathy
NUP42	"CG1, H_RG271G13.9, hCG1, NLP_1, NUPL2"	ENSG00000136243	"Nucleoporin 42"	O15504	7	23181841-23201011	"Metabolic proteins, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
XPO1	"CRM-1, CRM1, emb"	ENSG00000082898	"Exportin 1"	O14980	2	61476032-61538741	"Cancer-related genes, Essential proteins, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, mRNA transport, Protein transport, Transport"	RNA-binding	"Cancer-related genes, FDA approved drug targets"
CHMP7	MGC29816	ENSG00000147457	"Charged multivesicular body protein 7"	Q8WUX9	8	23243637-23262000	"Essential proteins, Predicted intracellular proteins"	"Protein transport, Transport"		
LBR	"DHCR14B, TDRD18"	ENSG00000143815	"Lamin B receptor"	Q14739	1	225401502-225428925	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"	"DNA-binding, Oxidoreductase, Receptor"	"Disease variant, Dwarfism"
NXF2	"CT39, TAPL-2"	ENSG00000269405	"Nuclear RNA export factor 2"	Q9GZY0	X	102247167-102326722	"Predicted intracellular proteins"	"mRNA transport, Transport"	RNA-binding	
NXF2B	bA353J17.1	ENSG00000269437	"Nuclear RNA export factor 2B"	Q9GZY0	X	102360395-102440008	"Predicted intracellular proteins"	"mRNA transport, Transport"	RNA-binding	
UBE2I	UBC9	ENSG00000103275	"Ubiquitin conjugating enzyme E2 I"	P63279	16	1308880-1327018	"Cancer-related genes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Chromosome partition, Host-virus interaction, Mitosis, Ubl conjugation pathway"	Transferase	"Cancer-related genes"
ALOX5	5-LOX	ENSG00000012779	"Arachidonate 5-lipoxygenase"	P09917	10	45374176-45446119	"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Leukotriene biosynthesis, Lipid metabolism"	"Dioxygenase, Hydrolase, Oxidoreductase"	"FDA approved drug targets"
CCAR1	"CARP-1, CARP1, FLJ10590"	ENSG00000060339	"Cell division cycle and apoptosis regulator 1"	Q8IX12	10	68721012-68792377	"Cancer-related genes, Essential proteins, Predicted intracellular proteins"	"Apoptosis, Cell cycle, Transcription, Transcription regulation"	"Activator, Repressor"	"Cancer-related genes"
SPAG4	"CT127, SUN4"	ENSG00000061656	"Sperm associated antigen 4"	Q9NPE6	20	35615829-35621094	"Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Spermatogenesis"		
NUP160	"FLJ22583, KIAA0197"	ENSG00000030066	"Nucleoporin 160"	Q12769	11	47778087-47848555	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"
SEC13	"D3S1231E, npp-20, SEC13L1, SEC13R"	ENSG00000157020	"SEC13 homolog, nuclear pore and COPII coat complex component"	P55735	3	10293131-10321112	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"	"ER-Golgi transport, mRNA transport, Protein transport, Translocation, Transport"		
LEMD3	MAN1	ENSG00000174106	"LEM domain containing 3"	Q9Y2U8	12	65169583-65248355	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"		DNA-binding	"Disease variant"
MX2	MXB	ENSG00000183486	"MX dynamin like GTPase 2"	P20592	21	41361999-41409393	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Antiviral defense, Immunity, Innate immunity, mRNA transport, Protein transport, Translocation, Transport"		
TOR1A	"DQ2, DYT1"	ENSG00000136827	"Torsin family 1 member A"	O14656	9	129812942-129824244	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Chaperone, Hydrolase"	"Disease variant, Dystonia"
NSMF	NELF	ENSG00000165802	"NMDA receptor synaptonuclear signaling and neuronal migration factor"	Q6X4W1	9	137447570-137459334	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant, Hypogonadotropic hypogonadism, Kallmann syndrome"
CSE1L	"CAS, CSE1, XPO2"	ENSG00000124207	"Chromosome segregation 1 like"	P55060	20	49046246-49096960	"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Cancer-related genes"
NUP62CL	FLJ20130	ENSG00000198088	"Nucleoporin 62 C-terminal like"	Q9H1M0	X	107123427-107206433	"Metabolic proteins, Predicted intracellular proteins"	"Protein transport, Transport"		
AKAP6	"ADAP6, AKAP100, KIAA0311, mAKAP, PRKA6"	ENSG00000151320	"A-kinase anchoring protein 6"	Q13023	14	32329298-32837684	"Predicted intracellular proteins, Predicted membrane proteins"			
IFFO1	"HOM-TES-103, IFFO"	ENSG00000010295	"Intermediate filament family orphan 1"	Q0D2I5	12	6538961-6556073	"Predicted intracellular proteins"			
KASH5	"CCDC155, FLJ32658"	ENSG00000161609	"KASH domain containing 5"	Q8N6L0	19	49388219-49417990	"Predicted intracellular proteins, Predicted membrane proteins"	Meiosis		"Disease variant, Premature ovarian failure"
LTC4S	MGC33147	ENSG00000213316	"Leukotriene C4 synthase"	Q16873	5	179793980-179796647	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Leukotriene biosynthesis, Lipid biosynthesis, Lipid metabolism"	"Lyase, Transferase"	
MLIP	"C6orf142, CIP, MGC18257"	ENSG00000146147	"Muscular LMNA interacting protein"	Q5VWP3	6	53929982-54266280	"Disease related genes, Predicted intracellular proteins"			"Disease variant"
SEH1L	"SEC13L, Seh1, SEH1A, SEH1B"	ENSG00000085415	"SEH1 like nucleoporin"	Q96EE3	18	12947133-12987536	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Chromosome partition, Mitosis, mRNA transport, Protein transport, Translocation, Transport"		
ANKLE2	"KIAA0692, Lem4, LEMD7"	ENSG00000176915	"Ankyrin repeat and LEM domain containing 2"	Q86XL3	12	132725503-132761832	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis"		"Disease variant, Primary microcephaly"
PAFAH1B1	"LIS1, MDCR, MDS, NudF, PAFAH"	ENSG00000007168	"Platelet activating factor acetylhydrolase 1b regulatory subunit 1"	P43034	17	2593210-2685615	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Differentiation, Lipid degradation, Lipid metabolism, Mitosis, Neurogenesis, Transport"	"Developmental protein"	"Disease variant, Lissencephaly"
DDX19B	"DBP5, DDX19"	ENSG00000157349	"DEAD-box helicase 19B"	Q9UMR2	16	70289663-70335305	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"		"Helicase, Hydrolase, RNA-binding"	
INTS13	"ASUN, C12orf11, FLJ10637, Mat89Bb, NET48, SPATA30"	ENSG00000064102	"Integrator complex subunit 13"	Q9NVM9	12	26905181-26938326	"Essential proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"		
DCTN1		ENSG00000204843	"Dynactin subunit 1"	Q14203	2	74361154-74392087	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Transport"		"Amyotrophic lateral sclerosis, Cancer-related genes, Neurodegeneration, Neuropathy, Parkinsonism"
GPER1	"CEPR, CMKRL2, DRY12, FEG-1, GPCR-Br, GPER, GPR30, LERGU, LERGU2, LyGPR"	ENSG00000164850	"G protein-coupled estrogen receptor 1"	Q99527	7	1082208-1093815	"G-protein coupled receptors, Predicted membrane proteins, Transporters"	"Apoptosis, Cell cycle, Differentiation, Immunity, Inflammatory response, Innate immunity, Neurogenesis"	"G-protein coupled receptor, Receptor, Transducer"	
MAD1L1	"HsMAD1, MAD1, PIG9, TP53I9, TXBP181"	ENSG00000002822	"Mitotic arrest deficient 1 like 1"	Q9Y6D9	7	1815793-2233243	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"		"Disease variant"
MAJIN	C11orf85	ENSG00000168070	"Membrane anchored junction protein"	Q3KP22	11	64937517-64972108	"Predicted intracellular proteins"	Meiosis	DNA-binding	
NPIPB3	"KIAA0220, NPIPL3"	ENSG00000169246	"Nuclear pore complex interacting protein family member B3"	Q92617	16	21402237-21448567	"Predicted intracellular proteins, Predicted membrane proteins"			
NRM	NRM29	ENSG00000137404	Nurim	Q8IXM6	6	30688047-30691420	"Predicted membrane proteins"			
TERB1	"CCDC79, FLJ35894"	ENSG00000249961	"Telomere repeat binding bouquet formation protein 1"	Q8NA31	16	66754640-66801620	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Meiosis		"Disease variant"
TERB2	"C15orf43, MGC33951"	ENSG00000167014	"Telomere repeat binding bouquet formation protein 2"	Q8NHR7	15	44956687-44979229	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			
VPS4A	"FLJ22197, SKD1, SKD1A, SKD2, VPS4, VPS4-1"	ENSG00000132612	"Vacuolar protein sorting 4 homolog A"	Q9UN37	16	69311350-69326939	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Cell cycle, Cell division, Protein transport, Transport"	Hydrolase	"Cataract, Congenital dyserythropoietic anemia, Disease variant, Hereditary hemolytic anemia, Intellectual disability"
CETN3	CEN3	ENSG00000153140	"Centrin 3"	O15182	5	90392257-90409766	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, mRNA transport, Protein transport, Translocation, Transport"		
